intertie_id,Intertie Unique ID Name,Current ID,Month of interite,Year of intertie,AEA energy region,Source
167-0000,Nunam Iqua_grid,True,,,Lower Yukon-Kuskokwim,
169-0000,Dillingham_grid,True,,,Bristol Bay,
170-0000,Ouzinkie_grid,True,,,Kodiak,
171-0000,Pedro Bay_grid,True,,,Bristol Bay,
172-0000,Pelican_grid,True,,,Southeast,
173-0000,Pilot Point_grid,True,,,Bristol Bay,
174-0000,Platinum_grid,True,,,Lower Yukon-Kuskokwim,
175-0000,Port Heiden_grid,True,,,Bristol Bay,
176-0000,Kongiganak_grid,True,,,Lower Yukon-Kuskokwim,
177-0000,Rampart_grid,True,,,Yukon-Koyukuk/Upper Tanana,
178-0000,Ruby_grid,True,,,Yukon-Koyukuk/Upper Tanana,
179-0000,Saint George_grid,True,,,Aleutians,
180-0000,Saint Paul_grid,True,,,Aleutians,
181-0000,Stevens Village_grid,True,,,Yukon-Koyukuk/Upper Tanana,
182-0000,Takotna_grid,True,,,Yukon-Koyukuk/Upper Tanana,
183-0000,Port Alsworth_grid,True,,,Bristol Bay,
184-0000,Tanana_grid,True,,,Yukon-Koyukuk/Upper Tanana,
185-0000,Tatitlek_grid,True,,,Copper River/Chugach,
186-0000,Adak_grid,True,,,Aleutians,
187-0000,Sand Point_grid,True,,,Aleutians,
188-0000,Manley Hot Springs_grid,True,,,Yukon-Koyukuk/Upper Tanana,
189-0000,Tenakee Springs_grid,True,,,Southeast,
190-0000,Tuluksak_grid,True,,,Lower Yukon-Kuskokwim,
191-0000,Tuntutuliak_grid,True,,,Lower Yukon-Kuskokwim,
193-0000,Nikolski_grid,True,,,Aleutians,
194-0000,Unalakleet_grid,True,,,Bering Straits,
195-0000,Unalaska_grid,True,,,Aleutians,
196-0000,Newtok_grid,True,,,Lower Yukon-Kuskokwim,
197-0000,Venetie_grid,True,,,Yukon-Koyukuk/Upper Tanana,
198-0000,WhiteMountain_grid,True,,,Bering Straits,
213-0000,Whale_Pass_grid,True,,,Southeast,
215-1985,Railbelt_grid,True,,1985.0,Railbelt,Distributing Alaska's Power. 2008
216-1982,CopperValley_grid,True,,1982.0,Copper River/Chugach,Distributing Alaska's Power. 2008
217-2009,SEAPA_grid,True,10.0,2009.0,Southeast,SEAPA communication
219-0000,Sitka_grid,True,,,Southeast,
221-0000,Utqiagvik_grid,True,,,North Slope,
222-0000,Juneau_grid,True,,,Southeast,
223-0000,Kodiak_grid,True,,,Kodiak,
224_0000,Deadhorse_grid,True,,,North Slope,
225_0000,Metlakatla_grid,True,,,Southeast,
226_0000,Paxson_grid,True,,,Copper River/Chugach,
