,year,plant_name,aea_energy_region,source,data_version,fuel_type,generation,acep_region
5963,2014,Terror Lake Microgrid,Kodiak,EIA923,Early Release,Hydro,134031.0,Coastal
5968,2014,Akhiok,Kodiak,PCE,Early Release,Oil,252.263,Coastal
5976,2014,Ouzinkie,Kodiak,PCE,Early Release,Oil,676.226,Coastal
5979,2014,Ouzinkie,Kodiak,PCE,Early Release,Hydro,142.871,Coastal
5984,2014,Old Harbor,Kodiak,PCE,Early Release,Oil,850.111,Coastal
6000,2014,Larsen Bay,Kodiak,PCE,Early Release,Oil,488.622,Coastal
6003,2014,Larsen Bay,Kodiak,PCE,Early Release,Hydro,742.696,Coastal
6008,2014,Aniak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2629.6,Rural Remote
6016,2014,Atmautluak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,655.181,Rural Remote
6024,2014,Kipnuk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1820.988,Rural Remote
6032,2014,Kwethluk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1501.492,Rural Remote
6040,2014,Kwigillingok,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1103.731,Rural Remote
6044,2014,Kwigillingok,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,210.629,Rural Remote
6048,2014,Lime Village,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,71.927,Rural Remote
6056,2014,Chuathbaluk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,267.875,Rural Remote
6064,2014,Crooked Creek,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,233.035,Rural Remote
6072,2014,Red Devil,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,72.476,Rural Remote
6080,2014,Sleetmute,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,258.487,Rural Remote
6088,2014,Napaskiak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1058.101,Rural Remote
6096,2014,Chefornak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1521.699,Rural Remote
6104,2014,Nunam Iqua,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,909.07,Rural Remote
6116,2014,Kongiganak,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,178.457,Rural Remote
6120,2014,Tuntutuliak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,93.164,Rural Remote
6124,2014,Tuntutuliak,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,76.613,Rural Remote
6128,2014,Newtok,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,443.881,Rural Remote
6136,2014,Akiachak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1871.996,Rural Remote
6144,2014,Akiak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1204.634,Rural Remote
6152,2014,Alakanuk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2284.423,Rural Remote
6160,2014,Bethel,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,11382.4,Rural Remote
6168,2014,Chevak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1681.383,Rural Remote
6172,2014,Chevak,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,829.138,Rural Remote
6176,2014,Emmonak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,3475.78,Rural Remote
6180,2014,Emmonak,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,506.189,Rural Remote
6184,2014,Hooper Bay,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2851.8,Rural Remote
6188,2014,Hooper Bay,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,375.806,Rural Remote
6192,2014,Kasigluk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2708.255,Rural Remote
6196,2014,Kasigluk,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,390.042,Rural Remote
6200,2014,Kotlik,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1966.084,Rural Remote
6208,2014,Marshall,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1518.762,Rural Remote
6216,2014,Pilot Station,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1721.899,Rural Remote
6224,2014,Quinhagak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1705.186,Rural Remote
6228,2014,Quinhagak,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,425.341,Rural Remote
6232,2014,Saint Mary's,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2997.053,Rural Remote
6240,2014,Scammon Bay,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1711.609,Rural Remote
6248,2014,Toksook Bay,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2644.752,Rural Remote
6252,2014,Toksook Bay,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,687.991,Rural Remote
6256,2014,Kalskag,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1324.101,Rural Remote
6264,2014,Eek,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,850.501,Rural Remote
6272,2014,Goodnews Bay,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,686.252,Rural Remote
6280,2014,Mekoryuk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,752.757,Rural Remote
6284,2014,Mekoryuk,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,231.822,Rural Remote
6288,2014,Russian Mission,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1039.636,Rural Remote
6312,2014,Mountain Village,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2855.753,Rural Remote
6360,2014,Barrow,North Slope,EIA923,Early Release,Oil,3.565,Rural Remote
6361,2014,Barrow,North Slope,EIA923,Early Release,Gas,49633.435,Rural Remote
6368,2014,Anaktuvuk Pass,North Slope,PCE,Early Release,Oil,4231.0,Rural Remote
6376,2014,Atqasuk,North Slope,PCE,Early Release,Oil,3481.92,Rural Remote
6384,2014,Kaktovik,North Slope,PCE,Early Release,Oil,4695.6,Rural Remote
6392,2014,Nuiqsut,North Slope,EIA923,Early Release,Oil,886.39,Rural Remote
6393,2014,Nuiqsut,North Slope,EIA923,Early Release,Gas,5711.61,Rural Remote
6400,2014,Point Hope,North Slope,EIA923,Early Release,Oil,5759.0,Rural Remote
6408,2014,Point Lay,North Slope,PCE,Early Release,Oil,3593.257,Rural Remote
6416,2014,Wainwright,North Slope,PCE,Early Release,Oil,6721.97,Rural Remote
6424,2014,TNSG North Plant,North Slope,EIA923,Early Release,Oil,5.0,Rural Remote
6425,2014,TNSG North Plant,North Slope,EIA923,Early Release,Gas,66099.0,Rural Remote
6433,2014,TNSG South Plant,North Slope,EIA923,Early Release,Gas,9104.0,Rural Remote
6440,2014,Buckland,Northwest Arctic,PCE,Early Release,Oil,1681.389,Rural Remote
6448,2014,Deering,Northwest Arctic,PCE,Early Release,Oil,606.627,Rural Remote
6456,2014,Kotzebue,Northwest Arctic,PCE,Early Release,Oil,17116.335,Rural Remote
6460,2014,Kotzebue,Northwest Arctic,PCE,Early Release,Wind,4625.497,Rural Remote
6464,2014,Ambler,Northwest Arctic,PCE,Early Release,Oil,1234.382,Rural Remote
6472,2014,Kiana,Northwest Arctic,PCE,Early Release,Oil,1554.2,Rural Remote
6480,2014,Kivalina,Northwest Arctic,PCE,Early Release,Oil,1220.661,Rural Remote
6488,2014,Noatak,Northwest Arctic,PCE,Early Release,Oil,1791.85,Rural Remote
6496,2014,Noorvik,Northwest Arctic,PCE,Early Release,Oil,1863.79,Rural Remote
6504,2014,Selawik,Northwest Arctic,PCE,Early Release,Oil,2594.496,Rural Remote
6508,2014,Selawik,Northwest Arctic,PCE,Early Release,Wind,47.939,Rural Remote
6512,2014,Shungnak,Northwest Arctic,PCE,Early Release,Oil,1633.556,Rural Remote
6528,2014,Anchorage 1,Railbelt,EIA923,Early Release,Oil,39.45,Railbelt
6529,2014,Anchorage 1,Railbelt,EIA923,Early Release,Gas,33602.55,Railbelt
6539,2014,Eklutna Hydro Project,Railbelt,EIA923,Early Release,Hydro,83110.0,Railbelt
6544,2014,George M Sullivan Generation Plant 2,Railbelt,EIA923,Early Release,Oil,987.859,Railbelt
6545,2014,George M Sullivan Generation Plant 2,Railbelt,EIA923,Early Release,Gas,492729.141,Railbelt
6554,2014,Aurora Energy LLC Chena,Railbelt,EIA923,Early Release,Coal,191062.0,Railbelt
6561,2014,Beluga,Railbelt,EIA923,Early Release,Gas,1216481.0,Railbelt
6571,2014,Cooper Lake,Railbelt,EIA923,Early Release,Hydro,32050.0,Railbelt
6577,2014,Southcentral Power Project,Railbelt,"EIA923, FERC1",Early Release,Gas,1301502.0,Railbelt
6584,2014,Fort Greely Power Plant,Railbelt,EIA923,Early Release,Oil,119.56,Railbelt
6594,2014,Utility Plants Section,Railbelt,EIA923,Early Release,Coal,71042.994,Railbelt
6601,2014,JBER Landfill Gas Power Plant,Railbelt,EIA923,Early Release,Gas,56167.0,Railbelt
6612,2014,Delta Wind Farm,Railbelt,EIA923,Early Release,Wind,4500.0,Railbelt
6620,2014,Fire Island Wind,Railbelt,EIA923,Early Release,Wind,47813.0,Railbelt
6644,2014,Eva Creek Wind,Railbelt,EIA923,Early Release,Wind,71779.0,Railbelt
6648,2014,Fairbanks,Railbelt,EIA923,Early Release,Oil,7085.0,Railbelt
6656,2014,Healy,Railbelt,EIA923,Early Release,Oil,293.044,Railbelt
6658,2014,Healy,Railbelt,EIA923,Early Release,Coal,185611.956,Railbelt
6664,2014,North Pole,Railbelt,EIA923,Early Release,Oil,313855.0,Railbelt
6673,2014,Bernice Lake,Railbelt,EIA923,Early Release,Gas,17447.0,Railbelt
6683,2014,Bradley Lake,Railbelt,EIA923,Early Release,Hydro,432575.0,Railbelt
6689,2014,Nikiski Co-Generation,Railbelt,EIA923,Early Release,Gas,371284.0,Railbelt
6696,2014,Seldovia,Railbelt,EIA923,Early Release,Oil,444.0,Railbelt
6705,2014,Soldotna,Railbelt,EIA923,Early Release,Gas,46481.0,Railbelt
6720,2014,Seward,Railbelt,EIA923,Early Release,Oil,49.0,Railbelt
6729,2014,Tesoro Kenai Cogeneration Plant,Railbelt,EIA923,Early Release,Gas,67069.24,Railbelt
6736,2014,University of Alaska Fairbanks,Railbelt,EIA923,Early Release,Oil,2827.932,Railbelt
6737,2014,University of Alaska Fairbanks,Railbelt,EIA923,Early Release,Gas,2161.112,Railbelt
6738,2014,University of Alaska Fairbanks,Railbelt,EIA923,Early Release,Coal,42366.231,Railbelt
6744,2014,Eielson AFB Central Heat & Power Plant,Railbelt,EIA923,Early Release,Oil,55.0,Railbelt
6746,2014,Eielson AFB Central Heat & Power Plant,Railbelt,EIA923,Early Release,Coal,68209.0,Railbelt
6769,2014,International,Railbelt,EIA923,Early Release,Gas,862.0,Railbelt
6795,2014,Lake Dorothy Hydroelectric Project,Southeast,EIA923,Early Release,Hydro,83600.0,Coastal
6800,2014,Lemon Creek,Southeast,EIA923,Early Release,Oil,181.0,Coastal
6811,2014,Salmon Creek 1,Southeast,EIA923,Early Release,Hydro,22116.0,Coastal
6819,2014,Snettisham,Southeast,EIA923,Early Release,Hydro,285599.0,Coastal
6824,2014,Elfin Cove,Southeast,PCE,Early Release,Oil,279.623,Coastal
6835,2014,Black Bear Lake,Southeast,EIA923,Early Release,Hydro,21145.0,Coastal
6843,2014,Goat Lake Hydro,Southeast,EIA923,Early Release,Hydro,15140.0,Coastal
6848,2014,Angoon,Southeast,PCE,Early Release,Oil,1812.726,Coastal
6856,2014,Hoonah,Southeast,PCE,Early Release,Oil,4595.68,Coastal
6864,2014,Kake,Southeast,PCE,Early Release,Oil,2838.967,Coastal
6875,2014,Chilkat Valley,Southeast,PCE,Early Release,Hydro,1002.42,Coastal
6883,2014,Kasidaya Creek Hydro,Southeast,EIA923,Early Release,Hydro,8640.0,Coastal
6891,2014,Beaver Falls,Southeast,EIA923,Early Release,Hydro,45508.0,Coastal
6899,2014,Ketchikan,Southeast,EIA923,Early Release,Hydro,24429.0,Coastal
6915,2014,Silvis,Southeast,EIA923,Early Release,Hydro,13723.0,Coastal
6923,2014,Swan Lake,Southeast,EIA923,Early Release,Hydro,66187.0,Coastal
6939,2014,South Fork,Southeast,EIA923,Early Release,Hydro,5875.0,Coastal
6952,2014,Craig,Southeast,EIA923,Early Release,Oil,306.0,Coastal
6963,2014,Chester Lake,Southeast,EIA923,Early Release,Hydro,5966.0,Coastal
6971,2014,Purple Lake,Southeast,EIA923,Early Release,Hydro,15660.0,Coastal
6976,2014,False Island,Southeast,EIA923,Early Release,Oil,818.0,Coastal
6984,2014,Haines,Southeast,PCE,Early Release,Oil,214.889,Coastal
6992,2014,Pelican,Southeast,EIA923,Early Release,Oil,3.0,Coastal
6995,2014,Pelican,Southeast,EIA923,Early Release,Hydro,1097.0,Coastal
7000,2014,Blind Slough,Southeast,EIA923,Early Release,Oil,732.06,Coastal
7003,2014,Blind Slough,Southeast,EIA923,Early Release,Hydro,13108.0,Coastal
7008,2014,Hydaburg,Southeast,EIA923,Early Release,Oil,13.0,Coastal
7027,2014,Blue Lake Hydro,Southeast,EIA923,Early Release,Hydro,40707.0,Coastal
7035,2014,Green Lake,Southeast,EIA923,Early Release,Hydro,70792.0,Coastal
7040,2014,Jarvis Street,Southeast,EIA923,Early Release,Oil,251.0,Coastal
7056,2014,Tenakee Springs,Southeast,PCE,Early Release,Oil,372.622,Coastal
7064,2014,Skagway,Southeast,PCE,Early Release,Oil,56.56,Coastal
7072,2014,Wrangell,Southeast,EIA923,Early Release,Oil,673.0,Coastal
7088,2014,Gustavus,Southeast,PCE,Early Release,Oil,3.2,Coastal
7091,2014,Gustavus,Southeast,PCE,Early Release,Hydro,892.872,Coastal
7096,2014,Whale Pass,Southeast,PCE,Early Release,Oil,318.36,Coastal
7107,2014,Annex Creek,Southeast,EIA923,Early Release,Hydro,27380.0,Coastal
7120,2014,Yakutat,Southeast,PCE,Early Release,Oil,6161.54,Coastal
7128,2014,Gold Creek,Southeast,EIA923,Early Release,Oil,18.0,Coastal
7131,2014,Gold Creek,Southeast,EIA923,Early Release,Hydro,5634.0,Coastal
7176,2014,Coffman Cove,Southeast,PCE,Early Release,Oil,14.948,Coastal
7208,2014,Naukati Bay,Southeast,PCE,Early Release,Oil,431.712,Coastal
7216,2014,Ekwok,Southeast,PCE,Early Release,Oil,497.694,Coastal
7224,2014,Stevens Village,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,117.351,Rural Remote
7232,2014,Arctic Village,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,528.768,Rural Remote
7240,2014,Beaver,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,264.725,Rural Remote
7256,2014,Chalkyitsik,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,273.641,Rural Remote
7264,2014,Circle,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,389.24,Rural Remote
7272,2014,Galena Electric Utility,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,5842.295,Rural Remote
7280,2014,Central,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,571.3,Rural Remote
7288,2014,Gwitchyaa Zhee,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,2976.232,Rural Remote
7296,2014,Hughes,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,441.982,Rural Remote
7304,2014,Koyukuk,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,298.998,Rural Remote
7312,2014,McGrath,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,2558.26,Rural Remote
7320,2014,Nikolai,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,437.054,Rural Remote
7336,2014,Ruby,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,678.94,Rural Remote
7344,2014,Takotna,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,72.576,Rural Remote
7352,2014,Tanana,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,1125.926,Rural Remote
7360,2014,Northway,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,1169.6,Rural Remote
7368,2014,Manley Hot Springs,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,445.063,Rural Remote
7376,2014,Venetie,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,658.4,Rural Remote
7384,2014,Tok,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,9012.12,Rural Remote
7392,2014,Allakaket,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,634.584,Rural Remote
7400,2014,Bettles,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,557.697,Rural Remote
7408,2014,Eagle,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,663.28,Rural Remote
7416,2014,Healy Lake,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,26.304,Rural Remote
7424,2014,Anvik,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,410.482,Rural Remote
7432,2014,Grayling,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,592.948,Rural Remote
7440,2014,Holy Cross,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,627.226,Rural Remote
7448,2014,Huslia,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,955.386,Rural Remote
7456,2014,Kaltag,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,700.063,Rural Remote
7461,2014,Kaltag,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Solar,8.649,Rural Remote
7464,2014,Minto,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,614.149,Rural Remote
7472,2014,Nulato,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,1002.902,Rural Remote
7480,2014,Shageluk,Yukon-Koyukuk/Upper Tanana,PCE,Early Release,Oil,380.435,Rural Remote
7504,2015,Atka,Aleutians,PCE,Early Release,Oil,141.865,Rural Remote
7507,2015,Atka,Aleutians,PCE,Early Release,Hydro,371.32,Rural Remote
7512,2015,False Pass,Aleutians,PCE,Early Release,Oil,647.112,Rural Remote
7520,2015,Cold Bay,Aleutians,PCE,Early Release,Oil,2436.21,Rural Remote
7528,2015,King Cove,Aleutians,PCE,Early Release,Oil,1711.320841,Rural Remote
7531,2015,King Cove,Aleutians,PCE,Early Release,Hydro,2760.0,Rural Remote
7536,2015,Nelson Lagoon,Aleutians,PCE,Early Release,Oil,327.582,Rural Remote
7544,2015,Saint George,Aleutians,PCE,Early Release,Oil,604.591,Rural Remote
7556,2015,Saint Paul,Aleutians,PCE,Early Release,Wind,707.205,Rural Remote
7560,2015,Adak,Aleutians,PCE,Early Release,Oil,2017.68,Rural Remote
7568,2015,Sand Point,Aleutians,PCE,Early Release,Oil,751.33,Rural Remote
7572,2015,Sand Point,Aleutians,PCE,Early Release,Wind,742.247,Rural Remote
7576,2015,Nikolski,Aleutians,PCE,Early Release,Oil,201.31,Rural Remote
7584,2015,Dutch Harbor,Aleutians,EIA923,Early Release,Oil,39395.0,Rural Remote
7592,2015,Unalaska Power Module,Aleutians,EIA923,Early Release,Oil,726.0,Rural Remote
7600,2015,Unisea G 2,Aleutians,EIA923,Early Release,Oil,26575.322,Rural Remote
7607,2015,Unisea G 2,Aleutians,EIA923,Early Release,Other,4760.678,Rural Remote
7608,2015,Westward Seafoods,Aleutians,EIA923,Early Release,Oil,19096.0,Rural Remote
7616,2015,Akutan,Aleutians,PCE,Early Release,Oil,285.172,Rural Remote
7619,2015,Akutan,Aleutians,PCE,Early Release,Hydro,2.142,Rural Remote
7640,2015,Golovin,Bering Straits,PCE,Early Release,Oil,941.408,Rural Remote
7648,2015,Snake River,Bering Straits,PCE,Early Release,Oil,29764.067,Rural Remote
7652,2015,Snake River,Bering Straits,PCE,Early Release,Wind,1813.801,Rural Remote
7656,2015,Unalakleet,Bering Straits,PCE,Early Release,Oil,3634.779,Rural Remote
7660,2015,Unalakleet,Bering Straits,PCE,Early Release,Wind,986.523,Rural Remote
7664,2015,White Mountain,Bering Straits,PCE,Early Release,Oil,767.3,Rural Remote
7672,2015,Brevig Mission,Bering Straits,PCE,Early Release,Oil,1143.206,Rural Remote
7680,2015,Elim,Bering Straits,PCE,Early Release,Oil,1263.825,Rural Remote
7688,2015,Gambell,Bering Straits,PCE,Early Release,Oil,1415.804,Rural Remote
7692,2015,Gambell,Bering Straits,PCE,Early Release,Wind,535.705,Rural Remote
7696,2015,Koyuk,Bering Straits,PCE,Early Release,Oil,1252.986,Rural Remote
7704,2015,Savoonga,Bering Straits,PCE,Early Release,Oil,1920.836,Rural Remote
7708,2015,Savoonga,Bering Straits,PCE,Early Release,Wind,258.538,Rural Remote
7712,2015,Shishmaref,Bering Straits,PCE,Early Release,Oil,1671.336,Rural Remote
7720,2015,Stebbins,Bering Straits,PCE,Early Release,Oil,2219.982,Rural Remote
7728,2015,Shaktoolik,Bering Straits,PCE,Early Release,Oil,794.51,Rural Remote
7732,2015,Shaktoolik,Bering Straits,PCE,Early Release,Wind,329.269,Rural Remote
7736,2015,Teller,Bering Straits,PCE,Early Release,Oil,851.047,Rural Remote
7744,2015,Wales,Bering Straits,PCE,Early Release,Oil,622.391,Rural Remote
7752,2015,Saint Michael,Bering Straits,PCE,Early Release,Oil,1130.45,Rural Remote
7760,2015,Chignik Lagoon,Bristol Bay,PCE,Early Release,Oil,80.819,Rural Remote
7763,2015,Chignik Lagoon,Bristol Bay,PCE,Early Release,Hydro,561.994,Rural Remote
7768,2015,Chignik Lake,Bristol Bay,PCE,Early Release,Oil,370.636,Rural Remote
7776,2015,Chignik,Bristol Bay,PCE,Early Release,Oil,898.57,Rural Remote
7784,2015,Clark's Point,Bristol Bay,PCE,Early Release,Oil,249.44,Rural Remote
7792,2015,Egegik,Bristol Bay,PCE,Early Release,Oil,642.311,Rural Remote
7800,2015,Igiugig,Bristol Bay,PCE,Early Release,Oil,349.167,Rural Remote
7808,2015,Newhalen,Bristol Bay,PCE,Early Release,Oil,34.376,Rural Remote
7811,2015,Newhalen,Bristol Bay,PCE,Early Release,Hydro,3746.996,Rural Remote
7816,2015,Kokhanok,Bristol Bay,PCE,Early Release,Oil,420.0,Rural Remote
7824,2015,Levelock,Bristol Bay,PCE,Early Release,Oil,475.619,Rural Remote
7832,2015,Manokotak,Bristol Bay,PCE,Early Release,Oil,1488.142328,Rural Remote
7840,2015,Naknek,Bristol Bay,PCE,Early Release,Oil,22412.982,Rural Remote
7848,2015,Koliganek,Bristol Bay,PCE,Early Release,Oil,747.389,Rural Remote
7856,2015,Dillingham,Bristol Bay,PCE,Early Release,Oil,18511.6,Rural Remote
7864,2015,Pedro Bay,Bristol Bay,PCE,Early Release,Oil,194.16,Rural Remote
7872,2015,Pilot Point,Bristol Bay,PCE,Early Release,Oil,435.688,Rural Remote
7880,2015,Port Heiden,Bristol Bay,PCE,Early Release,Oil,576.538508,Rural Remote
7888,2015,Port Alsworth,Bristol Bay,PCE,Early Release,Oil,882.193,Rural Remote
7896,2015,New Stuyahok,Bristol Bay,PCE,Early Release,Oil,1384.652,Rural Remote
7904,2015,Togiak,Bristol Bay,PCE,Early Release,Oil,3002.202,Rural Remote
7912,2015,Perryville,Bristol Bay,PCE,Early Release,Oil,254.092,Rural Remote
7916,2015,Perryville,Bristol Bay,PCE,Early Release,Wind,7.168,Rural Remote
7917,2015,Perryville,Bristol Bay,PCE,Early Release,Solar,0.306,Rural Remote
7920,2015,Chenega Bay,Copper River/Chugach,PCE,Early Release,Oil,247.922,Coastal
7928,2015,Chitina,Copper River/Chugach,PCE,Early Release,Oil,468.762,Coastal
7944,2015,Glennallen,Copper River/Chugach,EIA923,Early Release,Oil,8630.0,Coastal
7955,2015,Solomon Gulch,Copper River/Chugach,EIA923,Early Release,Hydro,55982.0,Coastal
7960,2015,Valdez,Copper River/Chugach,EIA923,Early Release,Oil,2233.0,Coastal
7968,2015,Valdez Cogen,Copper River/Chugach,EIA923,Early Release,Oil,21316.0,Coastal
7987,2015,Humpback Creek,Copper River/Chugach,EIA923,Early Release,Hydro,3051.0,Coastal
7992,2015,Orca,Copper River/Chugach,EIA923,Early Release,Oil,7739.0,Coastal
8003,2015,Power Creek,Copper River/Chugach,EIA923,Early Release,Hydro,17811.0,Coastal
8008,2015,Tatitlek,Copper River/Chugach,PCE,Early Release,Oil,440.8449119,Coastal
8024,2015,Slana,Copper River/Chugach,PCE,Early Release,Oil,1171.2,Coastal
8032,2015,Chistochina,Copper River/Chugach,PCE,Early Release,Oil,179.34,Coastal
8048,2015,Karluk,Kodiak,PCE,Early Release,Oil,208.071,Coastal
8092,2015,Pillar Mountain Wind Project Microgrid,Kodiak,EIA923,Early Release,Wind,29107.0,Coastal
8107,2015,Terror Lake Microgrid,Kodiak,EIA923,Early Release,Hydro,128893.0,Coastal
8112,2015,Akhiok,Kodiak,PCE,Early Release,Oil,257.111,Coastal
8120,2015,Ouzinkie,Kodiak,PCE,Early Release,Oil,366.0909,Coastal
8123,2015,Ouzinkie,Kodiak,PCE,Early Release,Hydro,401.256,Coastal
8128,2015,Old Harbor,Kodiak,PCE,Early Release,Oil,835.282,Coastal
8144,2015,Larsen Bay,Kodiak,PCE,Early Release,Oil,5.812168027,Coastal
8147,2015,Larsen Bay,Kodiak,PCE,Early Release,Hydro,484.862,Coastal
8152,2015,Aniak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2673.8,Rural Remote
8160,2015,Atmautluak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,692.7507094,Rural Remote
8168,2015,Kipnuk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1883.748,Rural Remote
8176,2015,Kwethluk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1620.721,Rural Remote
8184,2015,Kwigillingok,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,914.4566743,Rural Remote
8188,2015,Kwigillingok,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,519.737,Rural Remote
8192,2015,Lime Village,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,79.428,Rural Remote
8200,2015,Chuathbaluk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,278.162,Rural Remote
8208,2015,Crooked Creek,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,241.174,Rural Remote
8216,2015,Red Devil,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,67.426,Rural Remote
8224,2015,Sleetmute,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,260.8287089,Rural Remote
8232,2015,Stony River,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,118.6771428,Rural Remote
8240,2015,Napaskiak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,982.837,Rural Remote
8248,2015,Chefornak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1593.556,Rural Remote
8256,2015,Nunam Iqua,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,885.866,Rural Remote
8264,2015,Kongiganak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,301.5202507,Rural Remote
8268,2015,Kongiganak,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,231.357,Rural Remote
8276,2015,Tuntutuliak,Lower Yukon-Kuskokwim,PCE,Early Release,Wind,67.743,Rural Remote
8280,2015,Newtok,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,443.6057,Rural Remote
8288,2015,Akiachak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1951.908,Rural Remote
8296,2015,Akiak,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,1067.311,Rural Remote
8304,2015,Alakanuk,Lower Yukon-Kuskokwim,PCE,Early Release,Oil,2161.015,Rural Remote
