intertie_id,intertie_name,current,aea_energy_region,source
148-0000,Stony River Grid,True,Lower Yukon-Kuskokwim,
149-1980,Shungnak Grid,True,Northwest Arctic,
150-0000,Naknek Grid,True,Bristol Bay,
153-0000,Napaskiak Grid,True,Lower Yukon-Kuskokwim,
154-0000,Chefornak Grid,True,Lower Yukon-Kuskokwim,
155-0000,Perryville Grid,True,Bristol Bay,
156-0000,Nelson Lagoon Grid,True,Aleutians,
157-0000,Koliganek Grid,True,Bristol Bay,
158-0000,Nikolai Grid,True,Yukon-Koyukuk/Upper Tanana,
159-0000,Nome Grid,True,Bering Straits,
160-0000,Anaktuvuk Pass Grid,True,North Slope,
161-0000,Atqasuk Grid,True,North Slope,
162-0000,Kaktovik Grid,True,North Slope,
163-0000,Nuiqsut Grid,True,North Slope,
164-0000,Point Hope Grid,True,North Slope,
165-0000,Point Lay Grid,True,North Slope,
166-0000,Wainwright Grid,True,North Slope,
167-0000,Nunam Iqua Grid,True,Lower Yukon-Kuskokwim,
169-0000,Dillingham Grid,True,Bristol Bay,
170-0000,Ouzinkie Grid,True,Kodiak,
171-0000,Pedro Bay Grid,True,Bristol Bay,
172-0000,Pelican Grid,True,Southeast,
173-0000,Pilot Point Grid,True,Bristol Bay,
174-0000,Platinum Grid,True,Lower Yukon-Kuskokwim,
175-0000,Port Heiden Grid,True,Bristol Bay,
176-0000,Kongiganak Grid,True,Lower Yukon-Kuskokwim,
177-0000,Rampart Grid,True,Yukon-Koyukuk/Upper Tanana,
178-0000,Ruby Grid,True,Yukon-Koyukuk/Upper Tanana,
179-0000,Saint George Grid,True,Aleutians,
180-0000,Saint Paul Grid,True,Aleutians,
181-0000,Stevens Village Grid,True,Yukon-Koyukuk/Upper Tanana,
182-0000,Takotna Grid,True,Yukon-Koyukuk/Upper Tanana,
183-0000,Port Alsworth Grid,True,Bristol Bay,
184-0000,Tanana Grid,True,Yukon-Koyukuk/Upper Tanana,
185-0000,Tatitlek Grid,True,Copper River/Chugach,
